round,SR,P,Recall,F1,,
1,0,0.5,1,0.6666666666666666,,
2,0.5,0.6666666666666666,1,0.8,,
3,0.6666666666666666,0.75,1,0.8571428571428571,,
4,0.5,0.6666666666666666,0.5,0.5714285714285715,,
5,0.4,0.75,0.42857142857142855,0.5454545454545454,,
6,0.5,0.7777777777777778,0.4666666666666667,0.5833333333333334,,
7,0.5714285714285714,0.8,0.5,0.6153846153846154,,
8,0.625,0.8181818181818182,0.5294117647058824,0.6428571428571428,,
9,0.5555555555555556,0.75,0.5,0.6,,
10,0.6,0.7692307692307693,0.5263157894736842,0.625,,
11,0.6363636363636364,0.7857142857142857,0.55,0.6470588235294117,,
12,0.5833333333333334,0.8,0.41379310344827586,0.5454545454545454,,
13,0.6153846153846154,0.8125,0.43333333333333335,0.5652173913043479,,
14,0.6428571428571429,0.8235294117647058,0.45161290322580644,0.5833333333333333,,
15,0.6666666666666666,0.8333333333333334,0.46875,0.6,,
16,0.625,0.8421052631578947,0.41025641025641024,0.5517241379310346,,
17,0.6470588235294118,0.85,0.425,0.5666666666666667,,
18,0.6666666666666666,0.8571428571428571,0.43902439024390244,0.5806451612903225,,
19,0.6842105263157895,0.8636363636363636,0.4523809523809524,0.59375,,
20,0.65,0.8695652173913043,0.39215686274509803,0.5405405405405406,,
21,0.6190476190476191,0.875,0.35,0.4999999999999999,,
22,0.6363636363636364,0.88,0.36065573770491804,0.5116279069767442,,
23,0.6521739130434783,0.8846153846153846,0.3709677419354839,0.5227272727272727,,
24,0.6666666666666666,0.8888888888888888,0.38095238095238093,0.5333333333333333,,
25,0.64,0.8928571428571429,0.352112676056338,0.5050505050505051,,
26,0.6153846153846154,0.8620689655172413,0.3472222222222222,0.4950495049504951,,
27,0.5925925925925926,0.8333333333333334,0.3424657534246575,0.48543689320388356,,
28,0.5714285714285714,0.8387096774193549,0.3291139240506329,0.47272727272727266,,
29,0.5862068965517241,0.84375,0.3375,0.4821428571428572,,
30,0.6,0.8484848484848485,0.345679012345679,0.4912280701754386,,
31,0.6129032258064516,0.8529411764705882,0.35365853658536583,0.5,,
32,0.59375,0.8285714285714286,0.3493975903614458,0.4915254237288136,,
33,0.6060606060606061,0.8333333333333334,0.35714285714285715,0.5,,
34,0.6176470588235294,0.8378378378378378,0.36470588235294116,0.5081967213114754,,
35,0.6285714285714286,0.8421052631578947,0.37209302325581395,0.5161290322580645,,
36,0.6388888888888888,0.8461538461538461,0.3793103448275862,0.5238095238095238,,
37,0.6486486486486487,0.85,0.38636363636363635,0.53125,,
38,0.631578947368421,0.8536585365853658,0.36082474226804123,0.5072463768115942,,
39,0.6153846153846154,0.8333333333333334,0.35714285714285715,0.5,,
40,0.625,0.8372093023255814,0.36363636363636365,0.5070422535211268,,
41,0.6341463414634146,0.8409090909090909,0.37,0.513888888888889,,
42,0.6428571428571429,0.8444444444444444,0.37623762376237624,0.5205479452054794,,
43,0.6511627906976745,0.8478260869565217,0.38235294117647056,0.5270270270270271,,
44,0.6363636363636364,0.851063829787234,0.38461538461538464,0.5298013245033113,,
45,0.6222222222222222,0.8333333333333334,0.38095238095238093,0.522875816993464,,
46,0.6304347826086957,0.8367346938775511,0.3867924528301887,0.5290322580645161,,
47,0.6170212765957447,0.84,0.3888888888888889,0.5316455696202531,,
