round,SR,P,Recall,F1
1,0.5,0.5,0.5,0.5
2,0.5,0.5,0.5,0.5
3,0.444444444,0.5,0.5,0.5
4,0.4,0.5,0.5,0.5
5,0.6,0.538461538,0.538461538,0.538461538
6,0.538461538,0.571428571,0.571428571,0.571428571
7,0.526315789,0.571428571,0.571428571,0.571428571
8,0.55,0.588235294,0.588235294,0.588235294
9,0.533333333,0.6,0.6,0.6
10,0.607142857,0.6,0.6,0.6
11,0.609243697,0.608695652,0.608695652,0.608695652
12,0.583333333,0.619047619,0.619047619,0.619047619
13,0.596330275,0.625,0.625,0.625
14,0.591549296,0.636363636,0.636363636,0.636363636
15,0.595890411,0.64,0.64,0.64
16,0.594594595,0.65,0.65,0.65
17,0.598726115,0.653846154,0.653846154,0.653846154
18,0.61025641,0.655172414,0.655172414,0.655172414
19,0.604347826,0.666666667,0.666666667,0.666666667
20,0.606837607,0.666666667,0.666666667,0.666666667
21,0.610526316,0.666666667,0.666666667,0.666666667
22,0.611295681,0.666666667,0.666666667,0.666666667
23,0.613707165,0.677419355,0.677419355,0.677419355
24,0.615384615,0.678571429,0.678571429,0.678571429
25,0.61878453,0.725,0.725,0.725
26,0.615176152,0.739583333,0.739583333,0.740985577
27,0.621666667,0.740096038,0.740096038,0.741141141
28,0.624203822,0.74015748,0.74015748,0.741472172
29,0.628013777,0.74025195,0.74025195,0.74151436
30,0.627428571,0.74025974,0.74025974,0.741545894
31,0.62713797,0.740585774,0.740585774,0.741626794
32,0.627828054,0.740651387,0.740651387,0.741701871
33,0.645851155,0.740740741,0.740740741,0.741761534
34,0.633032395,0.740807715,0.740807715,0.741800835
35,0.645431685,0.740837696,0.740837696,0.741916168
36,0.634646519,0.740873728,0.740873728,0.741954708
37,0.642017968,0.740917213,0.740917213,0.741992883
38,0.633389735,0.740932642,0.740932642,0.741993958
39,0.634730539,0.741025641,0.741025641,0.742011834
40,0.642473118,0.741028708,0.741028708,0.742097489
41,0.644878049,0.741071429,0.741071429,0.742105263
42,0.606837607,0.741098371,0.741098371,0.742108398
43,0.643497758,0.741113744,0.741113744,0.74211165
44,0.622222222,0.741134752,0.741134752,0.742127154
45,0.620689655,0.741212121,0.741212121,0.742145821
46,1,0.741225461,0.741225461,0.7421644
47,1,0.741246291,0.741246291,0.742168675
48,0.454545455,0.741267022,0.741267022,0.7421875
49,0.571428571,0.741275572,0.741275572,0.74222668
50,0.5,0.741287655,0.741287655,0.742249779
51,0.5,0.741368867,0.741368867,0.742261905
52,0.5,0.74137931,0.74137931,0.742268041
53,0.5,0.741399763,0.741399763,0.742280285
54,0.529411765,0.741420118,0.741420118,0.742298578
55,0.571428571,0.741440378,0.741440378,0.742398931
56,0.583333333,0.741482966,0.741482966,0.742401888
57,0.666666667,0.74151436,0.74151436,0.742415229
58,0.666666667,0.741525424,0.741525424,0.742424242
59,0.590909091,0.741532977,0.741532977,0.742433234
60,0.6,0.741553053,0.741553053,0.742451155
61,0.615384615,0.741573034,0.741573034,0.742553819
62,0.608695652,0.74159292,0.74159292,0.742568371
63,0.609690444,0.741602067,0.741602067,0.742570952
64,0.610215054,0.741652021,0.741652021,0.742580254
65,0.610441767,0.741655541,0.741655541,0.742679128
66,0.609459459,0.741666667,0.741666667,0.742697328
67,0.610962567,0.741681791,0.741681791,0.74270557
68,0.609986505,0.741686461,0.741686461,0.742723319
69,0.610738255,0.74168798,0.74168798,0.742742743
70,0.610146862,0.741745283,0.741745283,0.742751388
71,0.612565445,0.741754823,0.741754823,0.742782152
72,0.611260054,0.741775295,0.741775295,0.742839352
73,0.610666667,0.741827885,0.741827885,0.742839732
74,0.612137203,0.741836106,0.741836106,0.742857143
75,0.612860892,0.741897466,0.741897466,0.742857143
76,0.610284168,0.741915423,0.741915423,0.742857143
77,0.613071895,0.741935484,0.741935484,0.742873935
78,0.612426036,0.741935484,0.741935484,0.74289246
79,0.611185087,0.741935484,0.741935484,0.742909988
80,0.61192053,0.741935484,0.741935484,0.742914305
81,0.60952381,0.741975309,0.741975309,0.742930591
82,0.612648221,0.74197861,0.74197861,0.742951907
83,0.613368283,0.741984733,0.741984733,0.742957746
84,0.613577023,0.741995074,0.741995074,0.742996346
85,0.610512129,0.742,0.742,0.742999378
86,0.612998523,0.742014742,0.742014742,0.743008537
87,0.611702128,0.74204947,0.74204947,0.74301676
88,0.612433862,0.742075823,0.742075823,0.743024963
89,0.610054348,0.742092457,0.742092457,0.743029896
90,0.613157895,0.742095474,0.742095474,0.743085638
91,0.614080834,0.742105263,0.742105263,0.743102391
92,0.612217795,0.742105263,0.742105263,0.743122307
93,0.613569322,0.742171885,0.742171885,0.743142145
94,0.612945839,0.742192284,0.742192284,0.743159204
95,0.610583446,0.742201295,0.742201295,0.743159753
96,0.613666229,0.742203742,0.742203742,0.743175814
97,0.614583333,0.742213386,0.742213386,0.743176179
98,0.612732095,0.742216687,0.742216687,0.743215031
99,0.598870056,0.742219612,0.742219612,0.74327466
100,0.613333333,0.722236025,0.742236025,0.722236025
101,0.611111111,0.742255266,0.742255266,0.7433354
102,0.614138439,0.742268041,0.742268041,0.743351886
103,0.615084525,0.742281879,0.742281879,0.74340949
104,0.615284974,0.742343542,0.742343542,0.743445071
105,0.62962963,0.742346939,0.742346939,0.743455497
106,0.610027855,0.742352941,0.742352941,0.743476986
107,0.610803324,0.742358079,0.742358079,0.743523316
108,0.614705882,0.742370892,0.742370892,0.743534483
109,0.615584416,0.742384106,0.742384106,0.743589744
110,0.610958904,0.742414861,0.742414861,0.743589744
111,0.615782665,0.742433601,0.742433601,0.743605739
112,0.614035088,0.74248927,0.74248927,0.743627307
113,0.609822647,0.742504409,0.742504409,0.743687835
114,0.610570236,0.742521994,0.742521994,0.743715689
115,0.614243323,0.742534837,0.742534837,0.74375
116,0.611341632,0.742547425,0.742547425,0.743775607
117,0.611796982,0.742556918,0.742556918,0.743777452
118,0.616083009,0.742608696,0.742608696,0.743806836
119,0.611491108,0.742647059,0.742647059,0.743811881
120,0.615271659,0.742672919,0.742672919,0.743842365
121,0.61627907,0.742679128,0.742679128,0.743859649
122,0.61459854,0.74270557,0.74270557,0.743863702
123,0.610354223,0.742738589,0.742738589,0.743882545
124,0.611111111,0.742823667,0.742823667,0.743902439
125,0.611878453,0.74289246,0.74289246,0.743927422
126,0.616774194,0.742907801,0.742907801,0.74393531
127,0.610655738,0.74291939,0.74291939,0.743955724
128,0.614369501,0.742930591,0.742930591,0.743967408
129,0.597701149,0.742957746,0.742957746,0.743969776
130,0.610878661,0.742974239,0.742974239,0.743982495
131,0.611650485,0.742980562,0.742980562,0.744011544
132,0.612413793,0.743002545,0.743002545,0.744013491
133,0.601123596,0.743006993,0.743006993,0.744025338
134,0.617268041,0.743071594,0.743071594,0.744038156
135,0.614934114,0.743073048,0.743073048,0.744063325
136,0.612947658,0.743073048,0.743073048,0.744077216
137,0.604477612,0.743107769,0.743107769,0.744086022
138,0.612637363,0.743124634,0.743124634,0.744104803
139,0.617760618,0.74315515,0.74315515,0.744118501
140,0.621383648,0.743157895,0.743157895,0.74412778
141,0.618251928,0.743215031,0.743215031,0.74413998
142,0.612359551,0.74321985,0.74321985,0.744159215
143,0.611500701,0.743243243,0.743243243,0.744172662
144,0.621859296,0.743261456,0.743261456,0.744186047
145,0.611731844,0.743268629,0.743268629,0.744200826
146,0.618741977,0.743271222,0.743271222,0.744226834
147,0.620076239,0.743274854,0.743274854,0.744227353
148,0.613832853,0.743276284,0.743276284,0.744245524
149,0.620253165,0.74330617,0.74330617,0.74425371
150,0.622333752,0.743321719,0.743321719,0.744267054
151,0.612044818,0.743329098,0.743329098,0.744268078
152,0.622971286,0.743341404,0.743341404,0.744282744
153,0.605947955,0.743367935,0.743367935,0.744306717
154,0.619230769,0.743383199,0.743383199,0.744308231
155,0.613480055,0.743403694,0.743403694,0.744308809
156,0.6,0.743424898,0.743424898,0.744319816
157,0.609929078,0.743429287,0.743429287,0.744338694
158,0.620558376,0.743455497,0.743455497,0.74436329
159,0.615156018,0.743455497,0.743455497,0.744368266
160,0.620733249,0.743470691,0.743470691,0.744376278
161,0.599099099,0.743478261,0.743478261,0.744389391
162,0.603351955,0.743492063,0.743492063,0.744415434
163,0.622807018,0.74351585,0.74351585,0.744454048
164,0.623441397,0.743530765,0.743530765,0.744466801
165,0.612587413,0.743534483,0.743534483,0.744471744
166,0.606557377,0.743550835,0.743550835,0.744477415
167,0.61516035,0.743572841,0.743572841,0.744506396
168,0.61971831,0.743574766,0.743574766,0.744511613
169,0.62103929,0.743589744,0.743589744,0.744525547
170,0.610481586,0.743604651,0.743604651,0.744525547
171,0.621212121,0.743606557,0.743606557,0.744541485
172,0.623279099,0.74361949,0.74361949,0.744563642
173,0.623910336,0.743639922,0.743639922,0.744565217
174,0.620204604,0.743639922,0.743639922,0.744588745
175,0.62086514,0.743654822,0.743654822,0.744674643
176,0.615720524,0.743654822,0.743654822,0.744687599
177,0.621689786,0.743663594,0.743663594,0.744687806
178,0.615384615,0.743678161,0.743678161,0.744725738
179,0.611032532,0.74372446,0.74372446,0.74472916
180,0.614718615,0.74373908,0.74373908,0.744755245
181,0.62375,0.743741765,0.743741765,0.744756373
182,0.624378109,0.743768116,0.743768116,0.744769874
183,0.605504587,0.743774574,0.743774574,0.744813278
184,0.607407407,0.743801653,0.743801653,0.744823564
185,0.620689655,0.743811169,0.743811169,0.744845361
186,0.609489051,0.743817375,0.743817375,0.744849445
187,0.622166247,0.743825388,0.743825388,0.744854623
188,0.61627907,0.743873979,0.743873979,0.744897959
189,0.610795455,0.743902439,0.743902439,0.744907856
190,0.611581921,0.743902439,0.743902439,0.744949495
191,0.615942029,0.74391657,0.74391657,0.744977869
192,0.600896861,0.74393531,0.74393531,0.744985673
193,0.621173469,0.743939394,0.743939394,0.74500508
194,0.61212976,0.743958197,0.743958197,0.745011086
195,0.604575163,0.743975904,0.743975904,0.745072698
196,0.602272727,0.743979721,0.743979721,0.745075649
