round,SR,P,Recall,F1,,
1,1,1,1,1,,
2,1,1,1,1,,
3,1,1,1,1,,
4,1,1,1,1,,
5,1,1,1,1,,
6,1,1,1,1,,
7,0.8571428571428571,0.9090909090909091,0.9090909090909091,0.9090909090909091,,
8,0.75,0.875,0.875,0.875,,
9,0.6666666666666666,0.7727272727272727,0.7727272727272727,0.7727272727272727,,
10,0.6,0.75,0.75,0.75,,
11,0.6363636363636364,0.7586206896551724,0.7586206896551724,0.7586206896551724,,
12,0.6666666666666666,0.7666666666666667,0.7666666666666667,0.7666666666666667,,
13,0.6923076923076923,0.7741935483870968,0.7741935483870968,0.7741935483870968,,
14,0.7142857142857143,0.78125,0.78125,0.78125,,
15,0.7333333333333333,0.7878787878787878,0.7878787878787878,0.7878787878787878,,
16,0.6875,0.7647058823529411,0.7647058823529411,0.7647058823529412,,
17,0.7058823529411765,0.7714285714285715,0.7714285714285715,0.7714285714285715,,
18,0.7222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,,
19,0.7368421052631579,0.8222222222222222,0.8222222222222222,0.8222222222222222,,
20,0.7,0.8043478260869565,0.8043478260869565,0.8043478260869565,,
21,0.7142857142857143,0.8085106382978723,0.8085106382978723,0.8085106382978723,,
22,0.7272727272727273,0.8125,0.8125,0.8125,,
23,0.6956521739130435,0.8,0.8,0.8000000000000002,,
24,0.7083333333333334,0.8035714285714286,0.8035714285714286,0.8035714285714286,,
25,0.72,0.8070175438596491,0.8070175438596491,0.8070175438596491,,
26,0.7307692307692307,0.8103448275862069,0.8103448275862069,0.8103448275862069,,
27,0.7037037037037037,0.8059701492537313,0.8059701492537313,0.8059701492537313,,
28,0.6785714285714286,0.8133333333333334,0.8026315789473685,0.8079470198675497,,
29,0.6896551724137931,0.8157894736842105,0.8051948051948052,0.8104575163398693,,
30,0.7,0.8181818181818182,0.8076923076923077,0.8129032258064518,,
31,0.7096774193548387,0.8205128205128205,0.810126582278481,0.8152866242038216,,
32,0.6875,0.8255813953488372,0.8160919540229885,0.8208092485549133,,
33,0.6666666666666666,0.8160919540229885,0.8068181818181818,0.8114285714285714,,
34,0.6470588235294118,0.8068181818181818,0.797752808988764,0.8022598870056498,,
35,0.6285714285714286,0.7872340425531915,0.7789473684210526,0.783068783068783,,
36,0.6388888888888888,0.7894736842105263,0.78125,0.7853403141361256,,
37,0.6486486486486487,0.7916666666666666,0.7835051546391752,0.7875647668393783,,
38,0.6578947368421053,0.7938144329896907,0.7857142857142857,0.7897435897435898,,
39,0.6410256410256411,0.7857142857142857,0.7777777777777778,0.7817258883248731,,
40,0.65,0.7878787878787878,0.78,0.7839195979899497,,
41,0.6585365853658537,0.79,0.7821782178217822,0.7860696517412936,,
42,0.6666666666666666,0.7920792079207921,0.7843137254901961,0.7881773399014778,,
43,0.6744186046511628,0.7941176470588235,0.7864077669902912,0.7902439024390243,,
44,0.6818181818181818,0.7961165048543689,0.7884615384615384,0.7922705314009661,,
45,0.6666666666666666,0.7678571428571429,0.7610619469026548,0.7644444444444445,,
46,0.6521739130434783,0.7610619469026548,0.7543859649122807,0.7577092511013216,,
47,0.6595744680851063,0.7631578947368421,0.7565217391304347,0.7598253275109169,,
48,0.6666666666666666,0.7652173913043478,0.7586206896551724,0.7619047619047619,,
49,0.673469387755102,0.7672413793103449,0.7606837606837606,0.7639484978540774,,
50,0.68,0.7692307692307693,0.7627118644067796,0.7659574468085106,,
51,0.6862745098039216,0.773109243697479,0.7666666666666667,0.7698744769874478,,
52,0.6730769230769231,0.7666666666666667,0.7603305785123967,0.7634854771784233,,
53,0.6792452830188679,0.768595041322314,0.7622950819672131,0.7654320987654321,,
54,0.6666666666666666,0.7560975609756098,0.75,0.7530364372469637,,
55,0.6545454545454545,0.751937984496124,0.7461538461538462,0.749034749034749,,
56,0.6607142857142857,0.7538461538461538,0.7480916030534351,0.7509578544061303,,
57,0.6666666666666666,0.7557251908396947,0.75,0.752851711026616,,
58,0.6724137931034483,0.7575757575757576,0.7518796992481203,0.7547169811320754,,
59,0.6779661016949152,0.7593984962406015,0.753731343283582,0.7565543071161048,,
60,0.6833333333333333,0.7611940298507462,0.7555555555555555,0.758364312267658,,
61,0.6885245901639344,0.762962962962963,0.7573529411764706,0.7601476014760147,,
62,0.6774193548387096,0.7573529411764706,0.7518248175182481,0.7545787545787545,,
63,0.6666666666666666,0.7482014388489209,0.7428571428571429,0.7455197132616488,,
64,0.671875,0.75,0.7446808510638298,0.7473309608540925,,
65,0.6615384615384615,0.75,0.7449664429530202,0.7474747474747474,,
66,0.6666666666666666,0.7516778523489933,0.7466666666666667,0.7491638795986622,,
67,0.6716417910447762,0.7533333333333333,0.7483443708609272,0.7508305647840532,,
68,0.6764705882352942,0.7549668874172185,0.75,0.7524752475247526,,
69,0.6666666666666666,0.75,0.7450980392156863,0.7475409836065574,,
70,0.6571428571428571,0.7450980392156863,0.7402597402597403,0.7426710097719871,,
71,0.647887323943662,0.7468354430379747,0.7421383647798742,0.7444794952681387,,
72,0.6527777777777778,0.7484276729559748,0.74375,0.7460815047021944,,
73,0.6575342465753424,0.75,0.7453416149068323,0.747663551401869,,
74,0.6621621621621622,0.7515527950310559,0.7469135802469136,0.7492260061919505,,
75,0.6666666666666666,0.7530864197530864,0.7484662576687117,0.7507692307692309,,
76,0.6578947368421053,0.7484662576687117,0.7439024390243902,0.746177370030581,,
77,0.6493506493506493,0.7572254335260116,0.7528735632183908,0.7550432276657062,,
78,0.6538461538461539,0.7586206896551724,0.7542857142857143,0.7564469914040116,,
79,0.6582278481012658,0.76,0.7556818181818182,0.7578347578347578,,
80,0.6625,0.7613636363636364,0.7570621468926554,0.7592067988668555,,
81,0.6666666666666666,0.7627118644067796,0.7584269662921348,0.76056338028169,,
82,0.6707317073170732,0.7640449438202247,0.7597765363128491,0.7619047619047619,,
83,0.6746987951807228,0.7653631284916201,0.7611111111111111,0.7632311977715877,,
84,0.6785714285714286,0.7666666666666667,0.7624309392265194,0.7645429362880887,,
85,0.6823529411764706,0.7679558011049724,0.7637362637362637,0.765840220385675,,
86,0.6744186046511628,0.7637362637362637,0.7595628415300546,0.7616438356164382,,
87,0.6666666666666666,0.7634408602150538,0.7593582887700535,0.7613941018766756,,
88,0.6704545454545454,0.7647058823529411,0.7606382978723404,0.7626666666666667,,
89,0.6741573033707865,0.7659574468085106,0.7619047619047619,0.7639257294429708,,
90,0.6777777777777778,0.7671957671957672,0.7631578947368421,0.7651715039577837,,
91,0.6813186813186813,0.7684210526315789,0.7643979057591623,0.7664041994750657,,
92,0.6847826086956522,0.7696335078534031,0.765625,0.7676240208877285,,
93,0.6881720430107527,0.7708333333333334,0.7668393782383419,0.7688311688311688,,
94,0.6808510638297872,0.7738693467336684,0.77,0.7719298245614035,,
95,0.6736842105263158,0.7766990291262136,0.7729468599033816,0.774818401937046,,
96,0.6770833333333334,0.7777777777777778,0.7740384615384616,0.7759036144578314,,
97,0.6804123711340206,0.7788461538461539,0.7751196172248804,0.7769784172661871,,
98,0.6836734693877551,0.7799043062200957,0.7761904761904762,0.7780429594272076,,
99,0.6868686868686869,0.780952380952381,0.7772511848341233,0.7790973871733967,,
100,0.68,0.7511848341233,0.7735849056603774,0.749244,,0.7465116279069768
101,0.6831683168316832,0.7783018867924528,0.7746478873239436,0.776470588235294,,
102,0.6764705882352942,0.7746478873239436,0.7710280373831776,0.7728337236533959,,
103,0.6796116504854369,0.7757009345794392,0.772093023255814,0.7738927738927739,,
104,0.6826923076923077,0.7767441860465116,0.7731481481481481,0.7749419953596288,,
105,0.6761904761904762,0.7792792792792793,0.7757847533632287,0.7775280898876405,,
106,0.6792452830188679,0.7802690582959642,0.7767857142857143,0.7785234899328859,,
107,0.6822429906542056,0.78125,0.7777777777777778,0.7795100222717151,,
108,0.6851851851851852,0.7822222222222223,0.7787610619469026,0.7804878048780488,,
109,0.6788990825688074,0.7787610619469026,0.775330396475771,0.7770419426048564,,
110,0.6818181818181818,0.7797356828193832,0.7763157894736842,0.778021978021978,,
111,0.6846846846846847,0.7807017543859649,0.777292576419214,0.7789934354485777,,
112,0.6875,0.7816593886462883,0.7782608695652173,0.7799564270152507,,
113,0.6814159292035398,0.7782608695652173,0.7748917748917749,0.7765726681127982,,
114,0.6842105263157895,0.7792207792207793,0.7758620689655172,0.7775377969762419,,
115,0.6782608695652174,0.7758620689655172,0.7725321888412017,0.7741935483870968,,
116,0.6810344827586207,0.776824034334764,0.7735042735042735,0.7751605995717344,,
117,0.6752136752136753,0.773109243697479,0.7698744769874477,0.771488469601677,,
118,0.6694915254237288,0.7698744769874477,0.7666666666666667,0.7682672233820459,,
119,0.6638655462184874,0.7741935483870968,0.7710843373493976,0.7726358148893361,,
120,0.6583333333333333,0.7596899224806202,0.7596899224806202,0.7596899224806202,,
121,0.6528925619834711,0.7567567567567568,0.7567567567567568,0.7567567567567567,,
122,0.6557377049180327,0.7576923076923077,0.7576923076923077,0.7576923076923077,,
123,0.6585365853658537,0.7586206896551724,0.7586206896551724,0.7586206896551724,,
124,0.6612903225806451,0.7595419847328244,0.7595419847328244,0.7595419847328244,,
125,0.656,0.7574626865671642,0.7574626865671642,0.7574626865671642,,
126,0.6587301587301587,0.758364312267658,0.758364312267658,0.758364312267658,,
127,0.6614173228346457,0.7592592592592593,0.7592592592592593,0.7592592592592593,,
128,0.6640625,0.7601476014760148,0.7601476014760148,0.7601476014760148,,
129,0.6589147286821705,0.7617328519855595,0.7617328519855595,0.7617328519855595,,
130,0.6538461538461539,0.7589928057553957,0.7589928057553957,0.7589928057553957,,
131,0.6564885496183206,0.7598566308243727,0.7598566308243727,0.7598566308243727,,
132,0.6590909090909091,0.7607142857142857,0.7607142857142857,0.7607142857142857,,
133,0.6541353383458647,0.7569444444444444,0.7517241379310344,0.754325259515571,,
134,0.6567164179104478,0.7577854671280276,0.7525773195876289,0.7551724137931035,,
135,0.6592592592592592,0.7586206896551724,0.7534246575342466,0.7560137457044672,,
136,0.6617647058823529,0.7594501718213058,0.7542662116040956,0.7568493150684933,,
137,0.6642335766423357,0.7602739726027398,0.7551020408163265,0.7576791808873721,,
138,0.6594202898550725,0.757679180887372,0.752542372881356,0.7551020408163265,,
139,0.6546762589928058,0.752542372881356,0.7474747474747475,0.75,,
140,0.65,0.75,0.7449664429530202,0.7474747474747474,,
141,0.6453900709219859,0.7467105263157895,0.7418300653594772,0.7442622950819674,,
142,0.647887323943662,0.7475409836065574,0.742671009771987,0.7450980392156863,,
143,0.6433566433566433,0.7435064935064936,0.7387096774193549,0.7411003236245955,,
144,0.6458333333333334,0.7443365695792881,0.7395498392282959,0.7419354838709677,,
145,0.6413793103448275,0.7419354838709677,0.7371794871794872,0.7395498392282959,,
146,0.636986301369863,0.7436708860759493,0.7389937106918238,0.7413249211356466,,
147,0.6326530612244898,0.7413249211356467,0.7366771159874608,0.738993710691824,,
148,0.6351351351351351,0.7421383647798742,0.7375,0.7398119122257052,,
149,0.6375838926174496,0.7429467084639498,0.7383177570093458,0.7406249999999999,,
150,0.6333333333333333,0.740625,0.7360248447204969,0.7383177570093459,,
151,0.6357615894039735,0.7414330218068536,0.7368421052631579,0.7391304347826085,,
152,0.6381578947368421,0.7422360248447205,0.7376543209876543,0.7399380804953559,,
153,0.6405228758169934,0.7430340557275542,0.7384615384615385,0.7407407407407408,,
154,0.6363636363636364,0.7407407407407407,0.7361963190184049,0.7384615384615384,,
155,0.632258064516129,0.743202416918429,0.7387387387387387,0.7409638554216869,,
156,0.6346153846153846,0.7439759036144579,0.7395209580838323,0.7417417417417418,,
157,0.6305732484076433,0.7463126843657817,0.7419354838709677,0.7441176470588236,,
158,0.6329113924050633,0.7470588235294118,0.7426900584795322,0.744868035190616,,
159,0.6352201257861635,0.7478005865102639,0.7434402332361516,0.7456140350877194,,
160,0.6375,0.7485380116959064,0.7441860465116279,0.7463556851311953,,
161,0.6335403726708074,0.7463556851311953,0.7420289855072464,0.7441860465116279,,
162,0.6358024691358025,0.747093023255814,0.7427745664739884,0.744927536231884,,
163,0.6380368098159509,0.7521367521367521,0.7478753541076487,0.75,,
164,0.6341463414634146,0.7478991596638656,0.7437325905292479,0.7458100558659219,,
165,0.6363636363636364,0.7486033519553073,0.7444444444444445,0.7465181058495822,,
166,0.6385542168674698,0.7493036211699164,0.7451523545706371,0.7472222222222222,,
167,0.6347305389221557,0.7472222222222222,0.7430939226519337,0.7451523545706371,,
168,0.6309523809523809,0.7451523545706371,0.7410468319559229,0.7430939226519337,,
169,0.6272189349112426,0.743801652892562,0.7377049180327869,0.7407407407407408,,
170,0.6294117647058823,0.7445054945054945,0.7384196185286104,0.7414500683994528,,
171,0.631578947368421,0.7452054794520548,0.7391304347826086,0.7421555252387448,,
172,0.627906976744186,0.7438692098092643,0.7378378378378379,0.7408412483039349,,
173,0.6242774566473989,0.7446236559139785,0.7386666666666667,0.7416331994645248,,
174,0.6206896551724138,0.7447368421052631,0.7389033942558747,0.7418086500655308,,
175,0.6228571428571429,0.7454068241469817,0.7395833333333334,0.7424836601307191,,
176,0.625,0.7460732984293194,0.7402597402597403,0.7431551499348109,,
177,0.6271186440677966,0.7467362924281984,0.7409326424870466,0.7438231469440831,,
178,0.6292134831460674,0.7473958333333334,0.7416020671834626,0.7444876783398184,,
179,0.6312849162011173,0.7480519480519481,0.7422680412371134,0.7451487710219923,,
180,0.6333333333333333,0.7487046632124352,0.7429305912596401,0.7458064516129033,,
181,0.6298342541436464,0.7467700258397932,0.7410256410256411,0.7438867438867439,,
182,0.6263736263736264,0.7455012853470437,0.7416879795396419,0.7435897435897435,,
183,0.6284153005464481,0.7461538461538462,0.7423469387755102,0.7442455242966751,,
184,0.625,0.7442455242966752,0.7404580152671756,0.7423469387755103,,
185,0.6216216216216216,0.7412060301507538,0.7375,0.7393483709273184,,
186,0.6182795698924731,0.7425742574257426,0.7389162561576355,0.7407407407407408,,
187,0.6149732620320856,0.7414634146341463,0.7360774818401937,0.7387606318347509,,
188,0.6170212765957447,0.7420924574209246,0.7367149758454107,0.7393939393939395,,
189,0.6190476190476191,0.7427184466019418,0.7373493975903614,0.7400241837968561,,
190,0.6210526315789474,0.7433414043583535,0.7379807692307693,0.7406513872135103,,
191,0.6230366492146597,0.7439613526570048,0.7386091127098321,0.7412755716004813,,
192,0.6197916666666666,0.7440191387559809,0.7387173396674585,0.7413587604290823,,
193,0.6217616580310881,0.7446300715990454,0.7393364928909952,0.7419738406658739,,
194,0.6185567010309279,0.7452830188679245,0.7400468384074942,0.7426556991774382,,
195,0.6205128205128205,0.7458823529411764,0.7406542056074766,0.7432590855803046,,
196,0.6224489795918368,0.7464788732394366,0.7412587412587412,0.7438596491228071,,
197,0.6243654822335025,0.747072599531616,0.7418604651162791,0.7444574095682613,,
198,0.6262626262626263,0.7476635514018691,0.7424593967517401,0.7450523864959254,,
199,0.6231155778894473,0.745920745920746,0.7407407407407407,0.743321718931475,,
200,0.625,0.7465116279069768,0.7413394919168591,0.7439165701042874,,
201,0.6268656716417911,0.7470997679814385,0.7419354838709677,0.7445086705202312,,
202,0.6237623762376238,0.7482837528604119,0.7398190045248869,0.7440273037542663,,
203,0.6206896551724138,0.7465753424657534,0.7381489841986456,0.742338251986379,,
204,0.6225490196078431,0.7471526195899773,0.7387387387387387,0.7429218573046433,,
205,0.624390243902439,0.7477272727272727,0.7393258426966293,0.7435028248587571,,
206,0.6262135922330098,0.7482993197278912,0.7399103139013453,0.7440811724915445,,
207,0.6280193236714976,0.748868778280543,0.7404921700223713,0.7446569178852642,,
208,0.625,0.7471783295711061,0.7388392857142857,0.7429854096520762,,
209,0.6220095693779905,0.7454954954954955,0.7371937639198218,0.7413213885778276,,
210,0.6190476190476191,0.7438202247191011,0.7355555555555555,0.7396648044692737,,
211,0.6161137440758294,0.742152466367713,0.7339246119733924,0.738015607580825,,
212,0.6132075471698113,0.7404921700223713,0.7323008849557522,0.7363737486095661,,
213,0.6103286384976526,0.7388392857142857,0.7306843267108167,0.7347391786903441,,
214,0.6121495327102804,0.7394209354120267,0.7312775330396476,0.7353266888150609,,
215,0.6093023255813953,0.7412280701754386,0.7331887201735358,0.7371864776444929,,
216,0.6064814814814815,0.7429805615550756,0.7350427350427351,0.7389903329752955,,
217,0.6082949308755761,0.7435344827586207,0.7356076759061834,0.7395498392282959,,
218,0.6100917431192661,0.7440860215053764,0.7361702127659574,0.7401069518716579,,
219,0.6118721461187214,0.7446351931330472,0.7367303609341825,0.7406616862326574,,
220,0.6136363636363636,0.7451820128479657,0.7372881355932204,0.7412140575079871,,
221,0.6108597285067874,0.7435897435897436,0.7357293868921776,0.7396386822529225,,
222,0.6126126126126126,0.744136460554371,0.7362869198312236,0.7401908801696713,,
223,0.6098654708520179,0.7425531914893617,0.7347368421052631,0.7386243386243386,,
224,0.6116071428571429,0.7430997876857749,0.7352941176470589,0.7391763463569166,,
225,0.6133333333333333,0.7436440677966102,0.7358490566037735,0.7397260273972602,,
226,0.6150442477876106,0.7441860465116279,0.7364016736401674,0.7402733964248159,,
227,0.6123348017621145,0.7426160337552743,0.7348643006263048,0.7387198321091291,,
228,0.6140350877192983,0.7431578947368421,0.7354166666666667,0.7392670157068063,,
229,0.6157205240174672,0.7436974789915967,0.735966735966736,0.7398119122257053,,
230,0.6130434782608696,0.7421383647798742,0.7344398340248963,0.7382690302398331,,
231,0.6103896103896104,0.7405857740585774,0.7329192546583851,0.7367325702393341,,
