round,SR,P,Recall,F1,,,
1,1,1,1,1,,,
2,1,1,1,1,,,
3,0.666666667,0.666666667,0.666666667,0.666666667,,,
4,0.5,0.5,0.5,0.5,,,
5,0.6,0.6,0.6,0.6,,,
6,0.666666667,0.666666667,0.666666667,0.666666667,,,
7,0.714285714,0.714285714,0.714285714,0.714285714,,,
8,0.75,0.75,0.75,0.75,,,
9,0.666666667,0.722222222,0.722222222,0.722222222,,,
10,0.7,0.736842105,0.736842105,0.736842105,,,
11,0.636363636,0.75,0.75,0.75,,,
12,0.666666667,0.75862069,0.75862069,0.75862069,,,
13,0.692307692,0.766666667,0.766666667,0.766666667,,,
14,0.714285714,0.774193548,0.774193548,0.774193548,,,
15,0.666666667,0.769230769,0.769230769,0.769230769,,,
16,0.6875,0.775,0.775,0.775,,,
17,0.705882353,0.780487805,0.780487805,0.780487805,,,
18,0.666666667,0.761904762,0.761904762,0.761904762,,,
19,0.631578947,0.744186047,0.744186047,0.744186047,,,
20,0.65,0.75,0.75,0.75,,,
21,0.666666667,0.755555556,0.755555556,0.755555556,,,
22,0.681818182,0.8,0.8,0.8,,,
23,0.695652174,0.803571429,0.803571429,0.803571429,,,
24,0.708333333,0.813559322,0.813559322,0.813559322,,,
25,0.72,0.816666667,0.816666667,0.816666667,,,
26,0.692307692,0.803278689,0.803278689,0.803278689,,,
27,0.703703704,0.806451613,0.806451613,0.806451613,,,
28,0.714285714,0.80952381,0.80952381,0.80952381,,,
29,0.724137931,0.8125,0.8125,0.8125,,,
30,0.733333333,0.815384615,0.815384615,0.815384615,,,
31,0.741935484,0.818181818,0.818181818,0.818181818,,,
32,0.71875,0.813333333,0.813333333,0.813333333,,,
33,0.696969697,0.8125,0.8125,0.8125,,,
34,0.705882353,0.814814815,0.814814815,0.814814815,,,
35,0.714285714,0.817073171,0.817073171,0.817073171,,,
36,0.694444444,0.802325581,0.802325581,0.802325581,,,
37,0.702702703,0.804597701,0.804597701,0.804597701,,,
38,0.684210526,0.795454545,0.795454545,0.795454545,,,
39,0.666666667,0.795698925,0.795698925,0.795698925,,,
40,0.675,0.79787234,0.79787234,0.79787234,,,
41,0.658536585,0.789473684,0.789473684,0.789473684,,,
42,0.642857143,0.78125,0.78125,0.78125,,,
43,0.651162791,0.783505155,0.783505155,0.783505155,,,
44,0.659090909,0.785714286,0.785714286,0.785714286,,,
45,0.666666667,0.787878788,0.787878788,0.787878788,,,
46,0.673913043,0.79,0.79,0.79,,,
47,0.659574468,0.8,0.8,0.8,,,
48,0.666666667,0.801801802,0.801801802,0.801801802,,,
49,0.673469388,0.803571429,0.803571429,0.803571429,,,
50,0.66,0.798245614,0.798245614,0.798245614,,,
51,0.647058824,0.791304348,0.791304348,0.791304348,,,
52,0.653846154,0.793103448,0.793103448,0.793103448,,,
53,0.660377358,0.794871795,0.794871795,0.794871795,,,
54,0.666666667,0.796610169,0.796610169,0.796610169,,,
55,0.654545455,0.771653543,0.771653543,0.771653543,,,
56,0.660714286,0.7734375,0.7734375,0.7734375,,,
57,0.649122807,0.776119403,0.776119403,0.776119403,,,
58,0.655172414,0.785714286,0.785714286,0.785714286,,,
59,0.661016949,0.787234043,0.787234043,0.787234043,,,
60,0.65,0.781690141,0.781690141,0.781690141,,,
61,0.655737705,0.786206897,0.786206897,0.786206897,,,
62,0.661290323,0.787671233,0.787671233,0.787671233,,,
63,0.666666667,0.794701987,0.794701987,0.794701987,,,
64,0.671875,0.796052632,0.796052632,0.796052632,,,
65,0.676923077,0.797385621,0.797385621,0.797385621,,,
66,0.666666667,0.792207792,0.792207792,0.792207792,,,
67,0.656716418,0.788461538,0.788461538,0.788461538,,,
68,0.647058824,0.78343949,0.78343949,0.78343949,,,
69,0.637681159,0.790419162,0.790419162,0.790419162,,,
70,0.642857143,0.791666667,0.791666667,0.791666667,,,
71,0.633802817,0.786982249,0.786982249,0.786982249,,,
72,0.638888889,0.788235294,0.788235294,0.788235294,,,
73,0.643835616,0.789473684,0.789473684,0.789473684,,,
74,0.648648649,0.790697674,0.790697674,0.790697674,,,
75,0.653333333,0.791907514,0.791907514,0.791907514,,,
76,0.644736842,0.793296089,0.793296089,0.793296089,,,
77,0.649350649,0.794444444,0.794444444,0.794444444,,,
78,0.641025641,0.790055249,0.790055249,0.790055249,,,
79,0.632911392,0.785714286,0.785714286,0.785714286,,,
80,0.6375,0.786885246,0.786885246,0.786885246,,,
81,0.641975309,0.788043478,0.788043478,0.788043478,,,
82,0.634146341,0.783783784,0.783783784,0.783783784,,,
83,0.638554217,0.784946237,0.784946237,0.784946237,,,
84,0.642857143,0.786096257,0.786096257,0.786096257,,,
85,0.635294118,0.781914894,0.781914894,0.781914894,,,
86,0.627906977,0.78238342,0.78238342,0.78238342,,,
87,0.632183908,0.783505155,0.783505155,0.783505155,,,
88,0.625,0.779487179,0.779487179,0.779487179,,,
89,0.629213483,0.780612245,0.780612245,0.780612245,,,
90,0.622222222,0.776649746,0.776649746,0.776649746,,,
91,0.615384615,0.772727273,0.772727273,0.772727273,,,
92,0.608695652,0.768844221,0.768844221,0.768844221,,,
93,0.602150538,0.765,0.765,0.765,,,
94,0.606382979,0.766169154,0.766169154,0.766169154,,,
95,0.610526316,0.767326733,0.767326733,0.767326733,,,
96,0.614583333,0.768472906,0.768472906,0.768472906,,,
97,0.618556701,0.769607843,0.769607843,0.769607843,,,
98,0.612244898,0.754854369,0.765853659,0.765853659,,,0.773584906
99,0.616161616,0.754854369,0.773584906,0.773584906,,,
100,0.62,0.73,0.774647887,0.721,,0.756308947,
101,0.613861386,0.771300448,0.771300448,0.771300448,,,
102,0.607843137,0.768558952,0.768558952,0.768558952,,,
103,0.601941748,0.765217391,0.765217391,0.765217391,,,
104,0.605769231,0.766233766,0.766233766,0.766233766,,,
105,0.6,0.760683761,0.763948498,0.762312634,,,
106,0.603773585,0.761702128,0.764957265,0.763326226,,,
107,0.607476636,0.762711864,0.765957447,0.76433121,,,
108,0.601851852,0.7593361,0.7625,0.760914761,,,
109,0.596330275,0.756198347,0.7593361,0.757763975,,,
110,0.6,0.758196721,0.761316872,0.759753593,,,
111,0.594594595,0.75502008,0.758064516,0.756539235,,,
112,0.598214286,0.756,0.759036145,0.75751503,,,
113,0.601769912,0.756972112,0.76,0.758483034,,,
114,0.605263158,0.757936508,0.760956175,0.75944334,,,
115,0.608695652,0.758893281,0.761904762,0.76039604,,,
116,0.612068966,0.763565891,0.766536965,0.765048544,,,
117,0.606837607,0.760617761,0.763565891,0.762088975,,,
118,0.610169492,0.763358779,0.766283525,0.764818356,,,
119,0.613445378,0.764258555,0.767175573,0.765714286,,,
120,0.616666667,0.765151515,0.768060837,0.766603416,,,
121,0.611570248,0.762264151,0.765151515,0.763705104,,,
122,0.614754098,0.763157895,0.766037736,0.764595104,,,
123,0.617886179,0.764044944,0.766917293,0.765478424,,,
124,0.612903226,0.762962963,0.765799257,0.764378479,,,
125,0.616,0.763837638,0.766666667,0.765249538,,,
126,0.619047619,0.764705882,0.767527675,0.76611418,,,
127,0.622047244,0.765567766,0.768382353,0.766972477,,,
128,0.6171875,0.762773723,0.765567766,0.76416819,,,
129,0.620155039,0.763636364,0.766423358,0.765027322,,,
130,0.623076923,0.76618705,0.768953069,0.767567568,,,
131,0.625954198,0.76702509,0.769784173,0.768402154,,,
132,0.628787879,0.767857143,0.770609319,0.769230769,,,
133,0.62406015,0.765124555,0.767857143,0.766488414,,,
134,0.619402985,0.763250883,0.765957447,0.76460177,,,
135,0.622222222,0.764084507,0.766784452,0.765432099,,,
136,0.625,0.764912281,0.767605634,0.766256591,,,
137,0.627737226,0.765734266,0.768421053,0.767075306,,,
138,0.623188406,0.763066202,0.765734266,0.764397906,,,
139,0.625899281,0.763888889,0.766550523,0.765217391,,,
140,0.628571429,0.764705882,0.767361111,0.766031196,,,
141,0.624113475,0.762886598,0.765517241,0.764199656,,,
142,0.61971831,0.759197324,0.761744966,0.760469012,,,
143,0.622377622,0.76,0.762541806,0.761268781,,,
144,0.618055556,0.762987013,0.765472313,0.764227642,,,
145,0.620689655,0.763754045,0.766233766,0.764991896,,,
146,0.616438356,0.765822785,0.768253968,0.76703645,,,
147,0.612244898,0.76340694,0.765822785,0.764612954,,,
148,0.614864865,0.764150943,0.766561514,0.765354331,,,
149,0.617449664,0.765625,0.768025078,0.766823161,,,
150,0.613333333,0.763239875,0.765625,0.764430577,,,
151,0.609271523,0.760869565,0.763239875,0.762052877,,,
152,0.605263158,0.758513932,0.760869565,0.759689922,,,
153,0.60130719,0.759146341,0.76146789,0.760305344,,,
154,0.603896104,0.759878419,0.762195122,0.761035008,,,
155,0.606451613,0.760606061,0.762917933,0.761760243,,,
156,0.608974359,0.761329305,0.763636364,0.762481089,,,
157,0.611464968,0.762048193,0.764350453,0.763197587,,,
158,0.607594937,0.75975976,0.762048193,0.760902256,,,
159,0.603773585,0.75748503,0.75975976,0.75862069,,,
160,0.60625,0.758208955,0.760479042,0.759342302,,,
161,0.608695652,0.758928571,0.76119403,0.760059613,,,
162,0.611111111,0.759643917,0.761904762,0.76077266,,,
163,0.607361963,0.75739645,0.759643917,0.758518519,,,
164,0.609756098,0.758112094,0.76035503,0.759231905,,,
165,0.612121212,0.758823529,0.761061947,0.75994109,,,
166,0.614457831,0.759530792,0.761764706,0.760646109,,,
167,0.616766467,0.760233918,0.762463343,0.761346999,,,
168,0.619047619,0.760932945,0.763157895,0.762043796,,,
169,0.621301775,0.761627907,0.763848397,0.762736536,,,
170,0.617647059,0.75942029,0.761627907,0.760522496,,,
171,0.619883041,0.760115607,0.762318841,0.76121563,,,
172,0.622093023,0.760806916,0.76300578,0.761904762,,,
173,0.61849711,0.75862069,0.760806916,0.75971223,,,
174,0.614942529,0.756446991,0.75862069,0.757532281,,,
175,0.611428571,0.754874652,0.759103641,0.75698324,,,
176,0.613636364,0.756232687,0.760445682,0.758333333,,,
177,0.615819209,0.756906077,0.761111111,0.75900277,,,
178,0.617977528,0.757575758,0.761772853,0.759668508,,,
179,0.620111732,0.758241758,0.762430939,0.760330579,,,
180,0.616666667,0.757412399,0.761517615,0.759459459,,,
181,0.61878453,0.758064516,0.762162162,0.760107817,,,
182,0.615384615,0.756032172,0.760107817,0.758064516,,,
183,0.612021858,0.754666667,0.758713137,0.756684492,,,
184,0.614130435,0.755319149,0.759358289,0.757333333,,,
185,0.616216216,0.75596817,0.76,0.757978723,,,
186,0.61827957,0.756613757,0.760638298,0.75862069,,,
187,0.614973262,0.756544503,0.760526316,0.758530184,,,
188,0.617021277,0.759067358,0.763020833,0.761038961,,,
189,0.613756614,0.75826972,0.762148338,0.760204082,,,
190,0.615789474,0.758883249,0.762755102,0.760814249,,,
191,0.612565445,0.756962025,0.760814249,0.758883249,,,
192,0.609375,0.755050505,0.758883249,0.756962025,,,
193,0.611398964,0.755667506,0.759493671,0.757575758,,,
194,0.608247423,0.754342432,0.758104738,0.756218905,,,
195,0.605128205,0.754299754,0.758024691,0.756157635,,,
196,0.607142857,0.754901961,0.75862069,0.756756757,,,
197,0.604060914,0.753056235,0.756756757,0.754901961,,,
198,0.606060606,0.753658537,0.757352941,0.755501222,,,
199,0.608040201,0.754257908,0.75794621,0.756097561,,,
200,0.61,0.75,0.758536585,0.749566909,,0.756308947,
201,0.611940299,0.755447942,0.759124088,0.757281553,,,
202,0.613861386,0.756038647,0.759708738,0.757869249,,,
203,0.615763547,0.757793765,0.761445783,0.759615385,,,
204,0.617647059,0.758373206,0.762019231,0.760191847,,,
205,0.619512195,0.758949881,0.762589928,0.76076555,,,
206,0.621359223,0.75952381,0.763157895,0.761336516,,,
207,0.623188406,0.760095012,0.76372315,0.761904762,,,
208,0.625,0.760663507,0.764285714,0.762470309,,,
209,0.622009569,0.758865248,0.762470309,0.760663507,,,
210,0.623809524,0.759433962,0.763033175,0.761229314,,,
211,0.620853081,0.757647059,0.761229314,0.759433962,,,
212,0.622641509,0.758215962,0.761792453,0.76,,,
213,0.61971831,0.756440281,0.76,0.758215962,,,
214,0.621495327,0.758700696,0.762237762,0.760465116,,,
215,0.623255814,0.759259259,0.762790698,0.761020882,,,
216,0.62037037,0.757505774,0.761020882,0.759259259,,,
217,0.622119816,0.758064516,0.761574074,0.759815242,,,
218,0.623853211,0.75862069,0.762124711,0.760368664,,,
219,0.621004566,0.757303371,0.760722348,0.759009009,,,
220,0.622727273,0.757847534,0.761261261,0.759550562,,,
221,0.624434389,0.758389262,0.761797753,0.760089686,,,
222,0.626126126,0.758928571,0.762331839,0.760626398,,,
223,0.627802691,0.759465479,0.762863535,0.761160714,,,
224,0.629464286,0.76,0.763392857,0.76169265,,,
225,0.631111111,0.760532151,0.763919822,0.762222222,,,
226,0.632743363,0.761061947,0.764444444,0.762749446,,,
227,0.634361233,0.762114537,0.765486726,0.763796909,,,
228,0.635964912,0.762637363,0.766004415,0.764317181,,,
229,0.637554585,0.763157895,0.766519824,0.764835165,,,
230,0.639130435,0.763676149,0.767032967,0.765350877,,,
231,0.640692641,0.76419214,0.76754386,0.765864333,,,
232,0.637931034,0.762527233,0.765864333,0.76419214,,,
233,0.639484979,0.763043478,0.766375546,0.764705882,,,
234,0.641025641,0.763557484,0.766884532,0.765217391,,,
235,0.638297872,0.760775862,0.764069264,0.762419006,,,
236,0.639830508,0.762820513,0.766094421,0.764453961,,,
237,0.637130802,0.762711864,0.765957447,0.76433121,,,
238,0.634453782,0.762993763,0.766179541,0.764583333,,,
239,0.635983264,0.763485477,0.766666667,0.765072765,,,
240,0.6375,0.763975155,0.767151767,0.765560166,,,
241,0.639004149,0.76446281,0.767634855,0.766045549,,,
242,0.636363636,0.764344262,0.767489712,0.765913758,,,
243,0.633744856,0.763052209,0.766129032,0.764587525,,,
244,0.631147541,0.761523046,0.764587525,0.763052209,,,
245,0.632653061,0.762,0.765060241,0.763527054,,,
246,0.630081301,0.760869565,0.763888889,0.762376238,,,
247,0.627530364,0.759368836,0.762376238,0.760869565,,,
248,0.625,0.759689922,0.762645914,0.761165049,,,
249,0.626506024,0.760154739,0.763106796,0.761627907,,,
250,0.628,0.760617761,0.763565891,0.762088975,,,
251,0.629482072,0.761078998,0.764023211,0.762548263,,,
252,0.630952381,0.761538462,0.764478764,0.76300578,,,
253,0.628458498,0.760377358,0.763257576,0.761814745,,,
254,0.62992126,0.760828625,0.763705104,0.762264151,,,
255,0.631372549,0.761278195,0.764150943,0.762711864,,,
256,0.6328125,0.761726079,0.764595104,0.763157895,,,
257,0.634241245,0.762172285,0.765037594,0.763602251,,,
258,0.631782946,0.760747664,0.763602251,0.762172285,,,
259,0.633204633,0.76119403,0.764044944,0.762616822,,,
260,0.634615385,0.761638734,0.764485981,0.763059701,,,
261,0.636015326,0.762081784,0.764925373,0.763500931,,,
262,0.63740458,0.762523191,0.765363128,0.76394052,,,
263,0.63878327,0.762962963,0.765799257,0.764378479,,,
264,0.640151515,0.763401109,0.766233766,0.764814815,,,
265,0.637735849,0.762773723,0.765567766,0.76416819,,,
266,0.639097744,0.763205829,0.765996344,0.76459854,,,
267,0.640449438,0.763636364,0.766423358,0.765027322,,,
268,0.641791045,0.764065336,0.766848816,0.765454545,,,
269,0.643122677,0.764492754,0.767272727,0.765880218,,,
270,0.644444444,0.764918626,0.7676951,0.766304348,,,
271,0.645756458,0.76534296,0.768115942,0.766726944,,,
272,0.643382353,0.766488414,0.769230769,0.767857143,,,
273,0.641025641,0.765124555,0.767857143,0.766488414,,,
274,0.638686131,0.763765542,0.766488414,0.765124555,,,
275,0.64,0.764184397,0.766903915,0.765541741,,,
276,0.641304348,0.76460177,0.76731794,0.765957447,,,
277,0.642599278,0.765017668,0.767730496,0.766371681,,,
278,0.643884892,0.765432099,0.768141593,0.766784452,,,
279,0.64516129,0.76584507,0.768551237,0.767195767,,,
280,0.642857143,0.764499121,0.767195767,0.76584507,,,
281,0.640569395,0.765217391,0.767888307,0.766550523,,,
282,0.641843972,0.765625,0.768292683,0.766956522,,,
283,0.643109541,0.768835616,0.771477663,0.770154374,,,
284,0.64084507,0.767521368,0.770154374,0.768835616,,,
285,0.642105263,0.767918089,0.770547945,0.769230769,,,
286,0.643356643,0.768313458,0.770940171,0.769624573,,,
287,0.644599303,0.772194305,0.774789916,0.773489933,,,
288,0.642361111,0.770627063,0.773178808,0.771900826,,,
289,0.643598616,0.771004942,0.773553719,0.772277228,,,
290,0.644827586,0.771381579,0.773927393,0.772652389,,,
291,0.64604811,0.771756979,0.774299835,0.773026316,,,
292,0.647260274,0.772131148,0.774671053,0.773399015,,,
293,0.648464164,0.772504092,0.775041051,0.773770492,,,
294,0.646258503,0.774557166,0.777059774,0.775806452,,,
295,0.647457627,0.774919614,0.777419355,0.776167472,,,
296,0.648648649,0.775280899,0.777777778,0.776527331,,,
297,0.646464646,0.775671406,0.778129952,0.776898734,,,
298,0.647651007,0.776025237,0.778481013,0.777251185,,,
299,0.64548495,0.775,0.777429467,0.776212833,,,
300,0.643333333,0.755,0.776049767,0.753390607,,,
301,0.644518272,0.773993808,0.776397516,0.775193798,,,
302,0.645695364,0.774343122,0.776744186,0.775541796,,,
303,0.646864686,0.774691358,0.777089783,0.775888717,,,
304,0.648026316,0.775038521,0.777434312,0.776234568,,,
305,0.645901639,0.77693475,0.779299848,0.778115502,,,
306,0.647058824,0.777272727,0.779635258,0.7784522,,,
307,0.64495114,0.776119403,0.778443114,0.777279522,,,
308,0.646103896,0.777117385,0.779433681,0.77827381,,,
