round,SR,P,Recall,F1
1,0.0,0.0,0.0,0.0
2,0.5,0.5,0.5,0.5
3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,0.5,0.5,0.5,0.5
5,0.4,0.4375,0.5,0.4666666666666667
6,0.5,0.47058823529411764,0.5333333333333333,0.5
7,0.42857142857142855,0.4444444444444444,0.5,0.47058823529411764
8,0.375,0.42105263157894735,0.47058823529411764,0.4444444444444444
9,0.3333333333333333,0.4,0.4444444444444444,0.4210526315789474
10,0.4,0.42857142857142855,0.47368421052631576,0.45
11,0.36363636363636365,0.4090909090909091,0.45,0.4285714285714286
12,0.3333333333333333,0.40625,0.4482758620689655,0.4262295081967213
13,0.3076923076923077,0.3939393939393939,0.43333333333333335,0.4126984126984127
14,0.2857142857142857,0.38235294117647056,0.41935483870967744,0.39999999999999997
15,0.26666666666666666,0.37142857142857144,0.40625,0.3880597014925374
16,0.25,0.38095238095238093,0.41025641025641024,0.39506172839506165
17,0.29411764705882354,0.3953488372093023,0.425,0.40963855421686746
18,0.2777777777777778,0.38636363636363635,0.4146341463414634,0.39999999999999997
19,0.2631578947368421,0.37777777777777777,0.40476190476190477,0.39080459770114945
20,0.25,0.3888888888888889,0.4117647058823529,0.39999999999999997
21,0.23809523809523808,0.41935483870967744,0.43333333333333335,0.4262295081967213
22,0.22727272727272727,0.4126984126984127,0.4262295081967213,0.41935483870967744
23,0.21739130434782608,0.40625,0.41935483870967744,0.4126984126984127
24,0.25,0.4153846153846154,0.42857142857142855,0.421875
25,0.24,0.3972602739726027,0.4084507042253521,0.40277777777777785
26,0.23076923076923078,0.3918918918918919,0.4027777777777778,0.3972602739726028
27,0.2222222222222222,0.38666666666666666,0.3972602739726027,0.3918918918918919
28,0.21428571428571427,0.3950617283950617,0.4050632911392405,0.4
29,0.20689655172413793,0.3902439024390244,0.4,0.39506172839506176
30,0.23333333333333334,0.39759036144578314,0.4074074074074074,0.40243902439024387
31,0.25806451612903225,0.40476190476190477,0.4146341463414634,0.4096385542168674
32,0.25,0.4,0.40963855421686746,0.40476190476190477
33,0.2727272727272727,0.4069767441860465,0.4166666666666667,0.4117647058823529
34,0.2647058823529412,0.40229885057471265,0.4117647058823529,0.4069767441860465
35,0.2857142857142857,0.4090909090909091,0.4186046511627907,0.4137931034482759
36,0.3055555555555556,0.4157303370786517,0.42528735632183906,0.42045454545454547
37,0.32432432432432434,0.4222222222222222,0.4318181818181818,0.4269662921348315
38,0.3157894736842105,0.42424242424242425,0.4329896907216495,0.42857142857142855
39,0.3076923076923077,0.42,0.42857142857142855,0.42424242424242425
40,0.3,0.4158415841584158,0.42424242424242425,0.42
41,0.3170731707317073,0.4215686274509804,0.43,0.42574257425742573
42,0.30952380952380953,0.4174757281553398,0.42574257425742573,0.4215686274509804
43,0.32558139534883723,0.4230769230769231,0.43137254901960786,0.4271844660194175
44,0.3181818181818182,0.42452830188679247,0.4326923076923077,0.42857142857142855
45,0.3333333333333333,0.42990654205607476,0.4380952380952381,0.43396226415094336
46,0.32608695652173914,0.42592592592592593,0.4339622641509434,0.4299065420560748
47,0.3191489361702128,0.41818181818181815,0.42592592592592593,0.42201834862385323
48,0.3125,0.4051724137931034,0.41228070175438597,0.40869565217391307
49,0.30612244897959184,0.4017094017094017,0.40869565217391307,0.4051724137931035
50,0.3,0.3983050847457627,0.4051724137931034,0.4017094017094016
51,0.29411764705882354,0.3949579831932773,0.4017094017094017,0.39830508474576265
52,0.3076923076923077,0.4,0.4067796610169492,0.40336134453781514
53,0.3018867924528302,0.39669421487603307,0.40336134453781514,0.4
54,0.2962962962962963,0.39344262295081966,0.4,0.39669421487603307
55,0.3090909090909091,0.3983739837398374,0.4049586776859504,0.40163934426229503
56,0.30357142857142855,0.40476190476190477,0.4112903225806452,0.40800000000000003
57,0.2982456140350877,0.4015748031496063,0.408,0.4047619047619047
58,0.29310344827586204,0.4074074074074074,0.41353383458646614,0.41044776119402987
59,0.3050847457627119,0.4117647058823529,0.417910447761194,0.4148148148148148
60,0.31666666666666665,0.41605839416058393,0.4222222222222222,0.4191176470588235
61,0.3114754098360656,0.41304347826086957,0.41911764705882354,0.416058394160584
62,0.3064516129032258,0.41007194244604317,0.41605839416058393,0.4130434782608696
63,0.30158730158730157,0.40714285714285714,0.41304347826086957,0.41007194244604317
64,0.296875,0.41379310344827586,0.4195804195804196,0.4166666666666667
65,0.3076923076923077,0.4178082191780822,0.4236111111111111,0.42068965517241386
66,0.30303030303030304,0.41496598639455784,0.4206896551724138,0.41780821917808225
67,0.29850746268656714,0.41216216216216217,0.4178082191780822,0.41496598639455784
68,0.3088235294117647,0.4161073825503356,0.4217687074829932,0.4189189189189189
69,0.30434782608695654,0.41333333333333333,0.4189189189189189,0.41610738255033564
70,0.3,0.40993788819875776,0.4177215189873418,0.41379310344827586
71,0.30985915492957744,0.41358024691358025,0.42138364779874216,0.4174454828660436
72,0.3194444444444444,0.4171779141104294,0.425,0.42105263157894735
73,0.3150684931506849,0.4146341463414634,0.422360248447205,0.41846153846153844
74,0.3108108108108108,0.4121212121212121,0.41975308641975306,0.41590214067278286
75,0.30666666666666664,0.40963855421686746,0.4171779141104294,0.41337386018237077
76,0.3157894736842105,0.41317365269461076,0.42073170731707316,0.4169184290030212
77,0.3246753246753247,0.4166666666666667,0.42424242424242425,0.4204204204204204
78,0.32051282051282054,0.41420118343195267,0.42168674698795183,0.41791044776119407
79,0.31645569620253167,0.4117647058823529,0.41916167664670656,0.41543026706231456
80,0.3125,0.40229885057471265,0.4093567251461988,0.4057971014492754
81,0.32098765432098764,0.4057142857142857,0.4127906976744186,0.40922190201729103
82,0.3170731707317073,0.4034090909090909,0.41040462427745666,0.4068767908309456
83,0.3253012048192771,0.4067796610169492,0.41379310344827586,0.4102564102564103
84,0.3333333333333333,0.4101123595505618,0.41714285714285715,0.4135977337110482
85,0.32941176470588235,0.40782122905027934,0.4147727272727273,0.41126760563380277
86,0.3372093023255814,0.4111111111111111,0.4180790960451977,0.41456582633053213
87,0.3333333333333333,0.4117647058823529,0.41847826086956524,0.41509433962264153
88,0.32954545454545453,0.4072164948453608,0.41361256544502617,0.4103896103896104
89,0.3258426966292135,0.40512820512820513,0.4114583333333333,0.40826873385012913
90,0.3333333333333333,0.40816326530612246,0.41450777202072536,0.4113110539845759
91,0.34065934065934067,0.41116751269035534,0.4175257731958763,0.41432225063938616
92,0.33695652173913043,0.4090909090909091,0.4153846153846154,0.4122137404580153
93,0.3333333333333333,0.40703517587939697,0.413265306122449,0.410126582278481
94,0.3404255319148936,0.41,0.41624365482233505,0.41309823677581864
95,0.3368421052631579,0.4079601990049751,0.41414141414141414,0.41102756892230574
96,0.34375,0.41089108910891087,0.41708542713567837,0.4139650872817955
97,0.35051546391752575,0.41379310344827586,0.42,0.41687344913151364
98,0.3469387755102041,0.4238095238095238,0.42995169082125606,0.42685851318944845
99,0.3434343434343434,0.4218009478672986,0.42788461538461536,0.4248210023866348
