round,SR,P,Recall,F1
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,0.5,0.5,0.5,0.5
5,0.6,0.6,0.6,0.6
6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
8,0.5,0.5,0.5,0.5
9,0.4444444444444444,0.5,0.5,0.5
10,0.4,0.5,0.5,0.5
11,0.45454545454545453,0.5384615384615384,0.5384615384615384,0.5384615384615384
12,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714
13,0.5384615384615384,0.6,0.6,0.6
14,0.5,0.5882352941176471,0.5882352941176471,0.5882352941176471
15,0.5333333333333333,0.65,0.65,0.65
16,0.5,0.6190476190476191,0.6190476190476191,0.6190476190476191
17,0.5294117647058824,0.6363636363636364,0.6363636363636364,0.6363636363636364
18,0.5,0.6086956521739131,0.6086956521739131,0.6086956521739131
19,0.5263157894736842,0.625,0.625,0.625
20,0.55,0.64,0.64,0.64
21,0.5714285714285714,0.6538461538461539,0.6538461538461539,0.6538461538461539
22,0.5909090909090909,0.6666666666666666,0.6666666666666666,0.6666666666666666
23,0.6086956521739131,0.6785714285714286,0.6785714285714286,0.6785714285714286
24,0.5833333333333334,0.6551724137931034,0.6551724137931034,0.6551724137931034
25,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
26,0.6153846153846154,0.6774193548387096,0.6774193548387096,0.6774193548387096
27,0.6296296296296297,0.7435897435897436,0.7435897435897436,0.7435897435897437
28,0.6071428571428571,0.725,0.725,0.7250000000000001
29,0.6206896551724138,0.78,0.78,0.78
30,0.6333333333333333,0.7843137254901961,0.7843137254901961,0.7843137254901961
31,0.6129032258064516,0.7692307692307693,0.7692307692307693,0.7692307692307693
32,0.625,0.7735849056603774,0.7735849056603774,0.7735849056603775
33,0.6060606060606061,0.7592592592592593,0.7592592592592593,0.7592592592592593
34,0.5882352941176471,0.7627118644067796,0.7627118644067796,0.7627118644067796
35,0.5714285714285714,0.746031746031746,0.746031746031746,0.746031746031746
36,0.5833333333333334,0.75,0.75,0.75
37,0.5945945945945946,0.7777777777777778,0.7777777777777778,0.7777777777777778
38,0.6052631578947368,0.7808219178082192,0.7808219178082192,0.7808219178082192
39,0.6153846153846154,0.7837837837837838,0.7837837837837838,0.7837837837837838
40,0.625,0.7866666666666666,0.7866666666666666,0.7866666666666666
41,0.6341463414634146,0.7894736842105263,0.7894736842105263,0.7894736842105263
42,0.6190476190476191,0.7792207792207793,0.7792207792207793,0.7792207792207793
43,0.627906976744186,0.782051282051282,0.782051282051282,0.782051282051282
44,0.6136363636363636,0.7721518987341772,0.7721518987341772,0.7721518987341772
45,0.6222222222222222,0.775,0.775,0.775
46,0.6304347826086957,0.7777777777777778,0.7777777777777778,0.7777777777777778
47,0.6170212765957447,0.7710843373493976,0.7710843373493976,0.7710843373493976
48,0.625,0.7738095238095238,0.7738095238095238,0.7738095238095238
49,0.6326530612244898,0.7764705882352941,0.7764705882352941,0.7764705882352941
50,0.64,0.7790697674418605,0.7790697674418605,0.7790697674418605
51,0.6470588235294118,0.7816091954022989,0.7816091954022989,0.781609195402299
52,0.6538461538461539,0.7840909090909091,0.7840909090909091,0.7840909090909092
53,0.660377358490566,0.7865168539325843,0.7865168539325843,0.7865168539325842
54,0.6666666666666666,0.7888888888888889,0.7888888888888889,0.7888888888888889
55,0.6727272727272727,0.7912087912087912,0.7912087912087912,0.7912087912087912
56,0.6607142857142857,0.782608695652174,0.782608695652174,0.782608695652174
57,0.6666666666666666,0.7849462365591398,0.7849462365591398,0.7849462365591398
58,0.6724137931034483,0.7872340425531915,0.7872340425531915,0.7872340425531915
59,0.6779661016949152,0.7894736842105263,0.7894736842105263,0.7894736842105263
60,0.6833333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666
61,0.6721311475409836,0.7745098039215687,0.7745098039215687,0.7745098039215687
62,0.6612903225806451,0.7669902912621359,0.7669902912621359,0.7669902912621359
63,0.6507936507936508,0.7596153846153846,0.7596153846153846,0.7596153846153846
64,0.65625,0.7619047619047619,0.7619047619047619,0.7619047619047619
65,0.6461538461538462,0.7610619469026548,0.7610619469026548,0.7610619469026548
66,0.6515151515151515,0.7672413793103449,0.7672413793103449,0.7672413793103448
67,0.6417910447761194,0.7603305785123967,0.7603305785123967,0.7603305785123967
68,0.6470588235294118,0.7622950819672131,0.7622950819672131,0.7622950819672131
69,0.6376811594202898,0.7674418604651163,0.7674418604651163,0.7674418604651162
70,0.6428571428571429,0.7692307692307693,0.7692307692307693,0.7692307692307693
71,0.647887323943662,0.7709923664122137,0.7709923664122137,0.7709923664122138
72,0.6388888888888888,0.7593984962406015,0.7593984962406015,0.7593984962406015
73,0.6438356164383562,0.7611940298507462,0.7611940298507462,0.7611940298507462
74,0.6486486486486487,0.7681159420289855,0.7681159420289855,0.7681159420289855
75,0.6533333333333333,0.7697841726618705,0.7697841726618705,0.7697841726618704
76,0.6578947368421053,0.7714285714285715,0.7714285714285715,0.7714285714285715
77,0.6623376623376623,0.7730496453900709,0.7730496453900709,0.7730496453900709
78,0.6538461538461539,0.7676056338028169,0.7676056338028169,0.7676056338028169
79,0.6582278481012658,0.7708333333333334,0.7708333333333334,0.7708333333333333
80,0.65,0.7727272727272727,0.7727272727272727,0.7727272727272727
81,0.6419753086419753,0.7707006369426752,0.7707006369426752,0.7707006369426752
82,0.6341463414634146,0.7701863354037267,0.7701863354037267,0.7701863354037267
83,0.6385542168674698,0.7716049382716049,0.7716049382716049,0.7716049382716049
84,0.6428571428571429,0.7730061349693251,0.7730061349693251,0.7730061349693251
85,0.6470588235294118,0.774390243902439,0.774390243902439,0.7743902439024389
86,0.6511627906976745,0.7757575757575758,0.7757575757575758,0.7757575757575758
87,0.6436781609195402,0.7710843373493976,0.7710843373493976,0.7710843373493976
88,0.6363636363636364,0.7664670658682635,0.7664670658682635,0.7664670658682635
89,0.6404494382022472,0.7678571428571429,0.7678571428571429,0.7678571428571429
90,0.6333333333333333,0.768361581920904,0.768361581920904,0.768361581920904
91,0.6263736263736264,0.7640449438202247,0.7640449438202247,0.7640449438202248
92,0.6304347826086957,0.7653631284916201,0.7653631284916201,0.7653631284916201
93,0.6344086021505376,0.7666666666666667,0.7666666666666667,0.7666666666666667
94,0.6276595744680851,0.7688172043010753,0.7688172043010753,0.7688172043010751
95,0.6210526315789474,0.772020725388601,0.772020725388601,0.7720207253886011
96,0.625,0.7731958762886598,0.7731958762886598,0.7731958762886598
97,0.6185567010309279,0.7692307692307693,0.7692307692307693,0.7692307692307693
98,0.6122448979591837,0.7661691542288557,0.7661691542288557,0.7661691542288558
99,0.6060606060606061,0.7623762376237624,0.7623762376237624,0.7623762376237624
100,0.61,0.7635467980295566,0.7635467980295566,0.7635467980295565
101,0.6039603960396039,0.7598039215686274,0.7598039215686274,0.7598039215686274
102,0.6078431372549019,0.7609756097560976,0.7609756097560976,0.7609756097560976
103,0.6019417475728155,0.7572815533980582,0.7572815533980582,0.7572815533980582
104,0.5961538461538461,0.7536231884057971,0.7536231884057971,0.7536231884057971
105,0.6,0.7548076923076923,0.7548076923076923,0.7548076923076922
106,0.5943396226415094,0.7511520737327189,0.7511520737327189,0.7511520737327188
107,0.5981308411214953,0.7522935779816514,0.7522935779816514,0.7522935779816514
108,0.5925925925925926,0.7488584474885844,0.7488584474885844,0.7488584474885844
109,0.5963302752293578,0.75,0.75,0.75
110,0.5909090909090909,0.7522123893805309,0.7522123893805309,0.7522123893805309
111,0.5945945945945946,0.7533039647577092,0.7533039647577092,0.7533039647577092
112,0.5982142857142857,0.7617021276595745,0.7617021276595745,0.7617021276595745
113,0.6017699115044248,0.7627118644067796,0.7627118644067796,0.7627118644067796
114,0.6052631578947368,0.7637130801687764,0.7637130801687764,0.7637130801687764
115,0.6,0.7605042016806722,0.7605042016806722,0.7605042016806722
116,0.603448275862069,0.7615062761506276,0.7615062761506276,0.7615062761506276
117,0.6068376068376068,0.7625,0.7625,0.7625
118,0.6101694915254238,0.7634854771784232,0.7634854771784232,0.7634854771784232
119,0.6050420168067226,0.7603305785123967,0.7603305785123967,0.7603305785123967
120,0.6083333333333333,0.7613168724279835,0.7613168724279835,0.7613168724279835
121,0.6115702479338843,0.7622950819672131,0.7622950819672131,0.7622950819672131
122,0.6065573770491803,0.758893280632411,0.758893280632411,0.758893280632411
123,0.6097560975609756,0.7626459143968871,0.7626459143968871,0.7626459143968871
124,0.6129032258064516,0.7635658914728682,0.7635658914728682,0.7635658914728682
125,0.616,0.7644787644787645,0.7644787644787645,0.7644787644787645
126,0.6111111111111112,0.7615384615384615,0.7615384615384615,0.7615384615384615
127,0.6062992125984252,0.7622641509433963,0.7622641509433963,0.7622641509433963
128,0.6015625,0.7638376383763837,0.7638376383763837,0.7638376383763837
129,0.6046511627906976,0.7647058823529411,0.7647058823529411,0.7647058823529412
130,0.6076923076923076,0.7655677655677655,0.7655677655677655,0.7655677655677655
131,0.6030534351145038,0.7667844522968198,0.7667844522968198,0.7667844522968198
132,0.5984848484848485,0.7640845070422535,0.7640845070422535,0.7640845070422535
133,0.6015037593984962,0.7649122807017544,0.7649122807017544,0.7649122807017544
134,0.6044776119402985,0.7657342657342657,0.7657342657342657,0.7657342657342657
135,0.6,0.7653061224489796,0.7653061224489796,0.7653061224489794
136,0.6029411764705882,0.7661016949152543,0.7661016949152543,0.7661016949152541
137,0.6058394160583942,0.7668918918918919,0.7668918918918919,0.7668918918918919
138,0.6014492753623188,0.7643097643097643,0.7643097643097643,0.7643097643097643
139,0.5971223021582733,0.761744966442953,0.761744966442953,0.761744966442953
140,0.5928571428571429,0.749185667752443,0.7467532467532467,0.7479674796747968
141,0.5886524822695035,0.7492063492063492,0.7468354430379747,0.7480190174326465
142,0.5915492957746479,0.75,0.7476340694006309,0.7488151658767773
143,0.5944055944055944,0.750788643533123,0.7484276729559748,0.7496062992125985
144,0.5972222222222222,0.7515723270440252,0.7492163009404389,0.7503924646781791
145,0.593103448275862,0.7492163009404389,0.746875,0.7480438184663536
146,0.5958904109589042,0.75,0.7476635514018691,0.7488299531981278
147,0.5918367346938775,0.7492354740061162,0.7469512195121951,0.748091603053435
148,0.5945945945945946,0.75,0.7477203647416414,0.7488584474885844
149,0.5973154362416108,0.7507598784194529,0.7484848484848485,0.7496206373292869
150,0.6,0.7515151515151515,0.7492447129909365,0.7503782148260212
151,0.5960264900662252,0.7514792899408284,0.7492625368731564,0.7503692762186115
152,0.5986842105263158,0.7522123893805309,0.75,0.7511045655375551
153,0.6013071895424836,0.7529411764705882,0.750733137829912,0.7518355359765052
154,0.5974025974025974,0.750733137829912,0.7485380116959064,0.7496339677891654
155,0.6,0.7514619883040936,0.749271137026239,0.7503649635036497
156,0.6025641025641025,0.7521865889212828,0.75,0.7510917030567684
157,0.5987261146496815,0.75,0.7478260869565218,0.7489114658925978
158,0.6012658227848101,0.7507246376811594,0.7485549132947977,0.7496382054992764
159,0.6037735849056604,0.7514450867052023,0.7492795389048992,0.7503607503607505
160,0.60625,0.7521613832853026,0.75,0.7510791366906474
161,0.6086956521739131,0.7528735632183908,0.7507163323782235,0.7517934002869441
162,0.6111111111111112,0.7535816618911175,0.7514285714285714,0.7525035765379113
163,0.6134969325153374,0.7542857142857143,0.7521367521367521,0.75320970042796
164,0.6158536585365854,0.7549857549857549,0.7528409090909091,0.7539118065433855
165,0.6121212121212121,0.7528409090909091,0.7507082152974505,0.7517730496453899
166,0.6144578313253012,0.7535410764872521,0.751412429378531,0.7524752475247526
167,0.6107784431137725,0.7486033519553073,0.7465181058495822,0.7475592747559274
168,0.6071428571428571,0.7465940054495913,0.7425474254742548,0.7445652173913045
169,0.6094674556213018,0.7472826086956522,0.7432432432432432,0.7452574525745258
170,0.611764705882353,0.7479674796747967,0.7439353099730458,0.7459459459459459
171,0.6081871345029239,0.745945945945946,0.7419354838709677,0.7439353099730458
172,0.6046511627906976,0.7480106100795756,0.7440633245382586,0.746031746031746
173,0.6011560693641619,0.746031746031746,0.7421052631578947,0.7440633245382586
174,0.5977011494252874,0.7440633245382586,0.7401574803149606,0.7421052631578948
